q,side,rank,ticker,net_M,buy_M,sell_M
2024Q4,매도,5,AAPL,-283,709,992
2024Q4,매도,6,MSFT,-228,695,923
2024Q4,매도,7,SOXL,-120,6131,6250
2024Q4,매도,8,TSLT,-118,463,581
2024Q4,매도,9,SOXS,-90,2604,2694
2024Q4,매도,10,SMR,-86,758,844
2025Q1,매수,1,TSLA,2360,8133,5773
2025Q1,매수,2,TSLL,1693,5430,3737
2025Q1,매수,3,SOXL,567,5455,4887
2025Q1,매수,4,PLTR,428,2771,2343
2025Q1,매수,5,NVDA,314,4507,4193
2025Q1,매수,6,SCHD,293,653,360
2025Q1,매수,7,NVDL,267,2446,2179
2025Q1,매수,8,TQQQ,256,2137,1882
2025Q1,매수,9,ETHU,252,792,540
2025Q1,매수,10,TEM,238,706,468
2025Q1,매도,1,AAPL,-111,721,832
2025Q1,매도,2,SOXS,-87,1233,1320
2025Q1,매도,3,RGTI,-83,1919,2002
2025Q1,매도,4,SQQQ,-55,821,877
2025Q1,매도,5,MSTR,-44,692,736
2025Q1,매도,6,BITX,-41,538,579
2025Q1,매도,7,INTC,-18,127,145
2025Q1,매도,8,UVIX,-17,230,247
2025Q1,매도,9,BIL,-16,268,284
2025Q1,매도,10,AMZN,-15,429,444
2025Q2,매수,1,CRCL,604,1350,746
2025Q2,매수,2,SCHD,416,792,377
2025Q2,매수,3,AAPL,355,968,613
2025Q2,매수,4,UNH,325,689,364
2025Q2,매수,5,SOXS,314,1775,1461
2025Q2,매수,6,GOOGL,269,723,455
2025Q2,매수,7,JEPQ,244,337,93
2025Q2,매수,8,VOO,232,539,308
2025Q2,매수,9,TSLL,223,5703,5479
2025Q2,매수,10,COIN,187,441,254
2025Q2,매도,1,NVDA,-884,2889,3774
2025Q2,매도,2,SOXL,-604,6260,6864
2025Q2,매도,3,IONQ,-456,995,1451
2025Q2,매도,4,NVDL,-368,927,1295
2025Q2,매도,5,TQQQ,-340,2011,2351
2025Q2,매도,6,AVGO,-224,450,674
2025Q2,매도,7,MSFT,-214,206,420
2025Q2,매도,8,PLTR,-183,2062,2246
2025Q2,매도,9,CONL,-127,222,349
2025Q2,매도,10,MSTR,-61,445,506
